"time_stamp","experiment_id","condition","parameter","value"
"1652908256005","eRGOfe","1","feed-button-bookmark","yes"
"1652908256005","eRGOfe","2","feed-button-bookmark","yes"
"1652908256005","eRGOfe","1","feed-button-like","lognormal"
"1652908256005","eRGOfe","2","feed-button-like","lognormal"
"1652908256005","eRGOfe","1","feed-button-share","lognormal"
"1652908256005","eRGOfe","2","feed-button-share","lognormal"
"1652908256005","eRGOfe","1","forms","[""news importance"",""climate change exposure freq"",""climate change desire freq"",""climate change concern"",""social media usage"",""attention check"",""cognitive reflection (6-items)"",""actively-open-thinking"",""political ideology"",""socioeconomic status"",""demographics""]"
"1652908256005","eRGOfe","2","forms","[""news importance"",""climate change exposure freq"",""climate change desire freq"",""climate change concern"",""social media usage"",""attention check"",""cognitive reflection (6-items)"",""actively-open-thinking"",""political ideology"",""socioeconomic status"",""demographics""]"
"1652908256005","eRGOfe","1","instruct","Thank you for participating! Next, you will see a social media newsfeed, configured just for you. Please browse this newsfeed like you usually would for social media. For each post, indicate whether you would share it with your network, like/favorite it, or bookmark/save it for reading later."
"1652908256005","eRGOfe","2","instruct","Thank you for participating! Next, you will see a social media newsfeed, configured just for you. Please browse this newsfeed like you usually would for social media. For each post, indicate whether you would share it with your network, like/favorite it, or bookmark/save it for reading later."
"1652908256005","eRGOfe","1","intervention-perc",""
"1652908256005","eRGOfe","2","intervention-perc",""
"1652908256005","eRGOfe","1","intervention-type",""
"1652908256005","eRGOfe","2","intervention-type",""
"1652908256005","eRGOfe","1","n-conditions","2"
"1652908256005","eRGOfe","2","n-conditions","2"
"1652908256005","eRGOfe","1","platform","mturk"
"1652908256005","eRGOfe","2","platform","mturk"
"1652908256005","eRGOfe","1","redirect-url",""
"1652908256005","eRGOfe","2","redirect-url",""
"1652908256005","eRGOfe","1","skin",""
"1652908256005","eRGOfe","2","skin",""
