StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q65_Browser,Q65_Version,Q65_Operating System,Q65_Resolution,1_importance,1_newsworthy,1_familiarity,1_observedFrequency,1_desiredFrequency,2_importance,2_newsworthy,2_familiarity,2_observedFrequency,2_desiredFrequency,3_importance,3_newsworthy,3_familiarity,3_observedFrequency,3_desiredFrequency,4_importance,4_newsworthy,4_familiarity,4_observedFrequency,4_desiredFrequency,5_importance,5_newsworthy,5_familiarity,5_observedFrequency,5_desiredFrequency,6_importance,6_newsworthy,6_familiarity,6_observedFrequency,6_desiredFrequency,7_importance,7_newsworthy,7_familiarity,7_observedFrequency,7_desiredFrequency,8_importance,8_newsworthy,8_familiarity,8_observedFrequency,8_desiredFrequency,9_importance,9_newsworthy,9_familiarity,9_observedFrequency,9_desiredFrequency,10_importance,10_newsworthy,10_familiarity,10_observedFrequency,10_desiredFrequency,11_importance,11_newsworthy,11_familiarity,11_observedFrequency,11_desiredFrequency,12_importance,12_newsworthy,12_familiarity,12_observedFrequency,12_desiredFrequency,13_importance,13_newsworthy,13_familiarity,13_observedFrequency,13_desiredFrequency,14_importance,14_newsworthy,14_familiarity,14_observedFrequency,14_desiredFrequency,15_importance,15_newsworthy,15_familiarity,15_observedFrequency,15_desiredFrequency,16_importance,16_newsworthy,16_familiarity,16_observedFrequency,16_desiredFrequency,17_importance,17_newsworthy,17_familiarity,17_observedFrequency,17_desiredFrequency,18_importance,18_newsworthy,18_familiarity,18_observedFrequency,18_desiredFrequency,19_importance,19_newsworthy,19_familiarity,19_observedFrequency,19_desiredFrequency,20_importance,20_newsworthy,20_familiarity,20_observedFrequency,20_desiredFrequency,21_importance,21_newsworthy,21_familiarity,21_observedFrequency,21_desiredFrequency,22_importance,22_newsworthy,22_familiarity,22_observedFrequency,22_desiredFrequency,23_importance,23_newsworthy,23_familiarity,23_observedFrequency,23_desiredFrequency,24_importance,24_newsworthy,24_familiarity,24_observedFrequency,24_desiredFrequency,25_importance,25_newsworthy,25_familiarity,25_observedFrequency,25_desiredFrequency,26_importance,26_newsworthy,26_familiarity,26_observedFrequency,26_desiredFrequency,27_importance,27_newsworthy,27_familiarity,27_observedFrequency,27_desiredFrequency,28_importance,28_newsworthy,28_familiarity,28_observedFrequency,28_desiredFrequency,Age,Gender,Gender_6_TEXT,Education,Income,Ethnicity,Ethnicity_6_TEXT,god,Random,Google,Comments,Length,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,endloop
2022-08-02 18:44:35,2022-08-02 18:48:26,IP Address,50.159.203.224,100,231,True,2022-08-02 18:48:27,R_UyVRsWX5w94UZ2N,"","","","",36.0409,-115.0829,anonymous,EN,Chrome,103.0.0.0,Macintosh,1280x800,"","","","","","","","","","",Very high importance,Very high newsworthiness,Know a Fair Amount,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know a Fair Amount,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","",Some Importance,Some newsworthiness,Know a Fair Amount,A few times a week,"The same amount of news about """"${lm://Field/1}""""",30,Female,"",Bachelor's degree in college (4-year),"$20,000 to $29,999",Asian,"",3,No,No,"",5 Minutes,"","","","","","","","","","",0
2022-08-02 18:45:28,2022-08-02 18:48:33,IP Address,73.64.190.242,100,185,True,2022-08-02 18:48:33,R_81zMbCF3V3PRcid,"","","","",41.4388,-75.6125,anonymous,EN,Chrome,104.0.0.0,Windows NT 10.0,1536x864,Some Importance,Some newsworthiness,Know a Little,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Some Importance,Low newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""",Some Importance,Some newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","",42,Female,"",Bachelor's degree in college (4-year),"$70,000 to $79,999",White/Caucasian,"",Very Much   7,No,No,"",4 minutes,"","","","","","","","","","",0
2022-08-02 18:45:50,2022-08-02 18:48:34,IP Address,73.64.91.52,100,164,True,2022-08-02 18:48:34,R_2ttZGCFgrvVo4p2,"","","","",40.2906,-76.9487,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1366x768,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,High newsworthiness,Know a Little,A few times a week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Very low newsworthiness,Know a Fair Amount,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","",High Importance,Very high newsworthiness,Know a Fair Amount,Multiple times daily,"Less news about """"${lm://Field/1}""""","","","","","",Some Importance,High newsworthiness,Know It Well,About one every other week,"The same amount of news about """"${lm://Field/1}""""",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",40,Male,"",Master's degree,"$40,000 to $49,999",White/Caucasian,"",Not at all   0,No,No,"",3 minutes,"","","","","","","","","","",0
2022-08-02 18:44:30,2022-08-02 18:48:34,IP Address,73.221.85.175,100,243,True,2022-08-02 18:48:34,R_2SqNj3Rgkh89kro,"","","","",47.1016,-123.0591,anonymous,EN,Edge,103.0.1264.77,Windows NT 10.0,1280x720,"","","","","","","","","","",Very high importance,Very high newsworthiness,Know It Well,Multiple times daily,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Low newsworthiness,Know a Little,A few times a week,"Less news about """"${lm://Field/1}""""",Very high importance,Very high newsworthiness,Know It Well,Daily,"More news about """"${lm://Field/1}""""","","","","","","","","","","",Low importance,Low newsworthiness,Know a Little,About one per week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Know a Little,A few times a week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",49,Female,"",Some college but no degree,"$70,000 to $79,999",American Indian or Alaska Native,"",Very Much   7,No,No,I don't have any comments at this time - thank you.,Just over 4 minutes. ,"","","","","","","","","","",0
2022-08-02 18:44:19,2022-08-02 18:48:34,IP Address,71.247.1.214,100,255,True,2022-08-02 18:48:34,R_ZDhZg4ztB2ANHeV,"","","","",40.7429,-73.9392,anonymous,EN,Edge,103.0.1264.62,Windows NT 10.0,1280x720,High Importance,High newsworthiness,Know a Fair Amount,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","",Some Importance,High newsworthiness,Know a Little,None at all this month,"More news about """"${lm://Field/1}""""",Some Importance,Some newsworthiness,Know a Little,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know a Little,A few times a week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Heard of It,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",42,Female,"",High school graduate (high school diploma or equivalent including GED),"Less than $10,000",Other,"",6,No,No,"maybe a drop box when the """"other"""" option is clicked ",4 min,"","","","","","","","","","",0
2022-08-02 18:45:46,2022-08-02 18:48:35,IP Address,67.143.192.181,100,168,True,2022-08-02 18:48:35,R_1CgxRcDSAgdtnBi,"","","","",32.7797,-96.8022,anonymous,EN,Chrome,103.0.0.0,CrOS aarch64 14816.131.0,1300x731,"","","","","","","","","","",High Importance,High newsworthiness,Know a Fair Amount,Daily,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Heard of It,About one every other week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know It Well,Multiple times daily,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Heard of It,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",23,Transgender Male,"",Some college but no degree,"Less than $10,000",White/Caucasian,"",1,No,No,"",3 min,"","","","","","","","","","",0
2022-08-02 18:46:28,2022-08-02 18:48:35,IP Address,98.169.217.54,100,126,True,2022-08-02 18:48:35,R_2R2lk930ARYxclv,"","","","",38.8173,-77.2905,anonymous,EN,Chrome,103.0.0.0,Macintosh,1280x800,"","","","","","","","","","",High Importance,Very high newsworthiness,Know a Fair Amount,Daily,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know a Fair Amount,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Very high importance,Very high newsworthiness,Know a Little,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Never Heard of It,About one per week,"Less news about """"${lm://Field/1}""""",Very low importance,Very low newsworthiness,Heard of It,About one per week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27,Female,"",Bachelor's degree in college (4-year),"$150,000 or more",Asian,"",1,No,No,"",2 min,"","","","","","","","","","",0
2022-08-02 18:45:01,2022-08-02 18:48:35,IP Address,98.235.119.187,100,214,True,2022-08-02 18:48:36,R_Ad4zI9OHwZHgOaZ,"","","","",40.3226,-76.4042,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1536x864,"","","","","","","","","","",Very high importance,Very high newsworthiness,Know It Well,Daily,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Very high importance,Very high newsworthiness,Know It Well,Multiple times daily,"More news about """"${lm://Field/1}""""","","","","","","","","","","",Very high importance,Very high newsworthiness,Know It Well,Daily,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","",No importance,No newsworthiness,Heard of It,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","",41,Male,"",Some college but no degree,"$150,000 or more",White/Caucasian,"",Not at all   0,No,No,Thanks for the opportunity.,About 3 and a half minutes.,"","","","","","","","","","",0
2022-08-02 18:44:57,2022-08-02 18:48:40,IP Address,69.242.186.62,100,222,True,2022-08-02 18:48:40,R_1PXdbG52DMBJ2w5,"","","","",39.0944,-94.4099,anonymous,EN,Edge,103.0.1264.77,Windows NT 10.0,1366x768,Very low importance,Very low newsworthiness,Know It Well,Daily,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Fair Amount,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know a Fair Amount,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Little,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",41,Female,"",Bachelor's degree in college (4-year),"$50,000 to $59,999","White/Caucasian,Other",Hispanic,Very Much   7,No,No,"",less than 4 mins,"","","","","","","","","","",0
2022-08-02 18:46:39,2022-08-02 18:48:46,IP Address,98.96.8.65,100,126,True,2022-08-02 18:48:46,R_1DSTLinhXJ4DA2Z,"","","","",30.0529,-95.1783,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,"","","","","","","","","","",Very high importance,Very high newsworthiness,Know a Fair Amount,A few times a week,"More news about """"${lm://Field/1}""""","","","","","",Some Importance,Some newsworthiness,Know a Little,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Little,Multiple times daily,"Less news about """"${lm://Field/1}""""",No importance,No newsworthiness,Know a Fair Amount,A few times a week,"Less news about """"${lm://Field/1}""""","","","","","",No importance,No newsworthiness,Heard of It,About one every other week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",31,Male,"",Bachelor's degree in college (4-year),"$20,000 to $29,999",Other,Mestizo,Not at all   0,No,No,"",2 minutes,"","","","","","","","","","",0
