user_id,age,aot_changebeliefs,aot_evidenceconflicts,aot_loyalbeliefs,aot_maintainbeliefs,aot_regardlesstopic,aot_trueimportant,comments,covidvaccine,crt_1050printer,crt_emilyaprilmay,crt_markadam28,crt_moldbread40,crt_passsecondplace,crt_sheep158died,economicissuespref,ethnicity,gender,politicalposition,politicalpref,random,ses_educationlevel,ses_educationyears,ses_income,ses_ladder,socialmedia_accuracyimportance,socialmedia_followers,socialmedia_following,socialmedia_sharepolitics,socialmedia_usefreq,socialissuespref,studyduration,aot
1653780159694_oyr3u,45,1,1,2,1,1,1,"",2,10,Emily,4,39,2,8,3,white-caucasian,male,3,3,no,2,12,2,3,5,4500,0,1,4,3,20,5.83333333333333
1653780169035_f9ezn,46,3,3,3,3,3,2,"",6,50,Emily,8,39,2,8,5,asian,male,3,4,no,4,15,6,5,4,128,0,1,5,2,10,4.16666666666667
1653780173147_s6wdu,36,3,3,4,2,2,3,n/a,6,50,June,4,20,2,8,4,black-african-american,male,1,2,no,2,12,3,4,4,60,22,2,5,2,25,4.16666666666667
1653780180691_ys5fu,54,4,4,4,4,4,4,no thank you,6,50,emily,4,39,2,7,3,white-caucasian,male,3,3,no,2,13,4,3,2,10,1,1,5,3,15,3
1653780189769_9iksy,27,2,1,1,2,1,1,"",6,10,Emily,8,39,1,8,1,white-caucasian,female,3,3,no,4,14,3,1,5,45,40,2,4,1,11,5.66666666666667
1653780192256_wel15,41,2,4,2,4,3,3,"",4,5,Emily,28,8,3,8,2,white-caucasian,male,2,4,no,5,4,7,7,2,500,6,2,5,2,14,4
1653780331895_hwz2p,42,2,1,1,1,1,1,"",6,50,Emily,8,39,2,8,1,white-caucasian,male,3,3,no,5,16,8,5,5,300,120,1,4,4,11,5.83333333333333
1653780693388_eo00z,52,2,1,2,2,1,2,Nothing to add - thank you.,6,10,Emily,4,39,2,8,5,white-caucasian,male,2,6,no,5,16,1,7,4,250,150,2,5,4,15,5.33333333333333
1653780717730_gscfv,52,3,3,3,4,3,3,"none, thanks",6,50,Emily,8,39,2,8,2,white-caucasian,male,3,3,no,4,16,3,3,4,500,200,2,5,3,9,3.83333333333333
1653781345686_qalue,53,3,4,2,2,1,2,"No, thanks",6,10,Emily,8,20,2,8,2,white-caucasian,male,3,1,no,5,19,7,3,4,115,300,2,5,1,31,4.66666666666667
1653781384524_mkash,32,3,2,2,3,1,1,"",6,50,June,8,20,1,7,2,white-caucasian,female,1,3,no,5,16,3,6,4,1250,1100,2,5,2,40,5
1653781419392_316hc,46,3,3,2,2,2,2,"",4,10,Emily,8,39,2,8,3,white-caucasian,female,3,3,no,3,14,2,3,5,500,60,2,5,2,16,4.66666666666667
1653782922274_cf42h,25,2,2,2,1,1,1,No,1,50,June,8,20,2,8,5,white-caucasian,male,2,5,no,2,12,4,3,5,100,200,2,5,5,22,5.5
1653785718300_hp3ba,30,3,2,3,2,3,2,nope,6,50,Emily,8,39,2,8,3,asian,male,3,3,no,5,16,7,5,4,565,100,2,5,3,10,4.5
1653786919158_noxt2,31,1,1,1,1,1,1,I'm so sick of the Depp trial and I don't feel sorry for someone that owns multiple mansions and flies a private jet everywhere lmao,6,10,Emily,4,39,2,8,2,other,male,1,3,no,5,16,2,3,4,107,1200,2,5,3,15,6
1653800861252_hnzkt,32,4,3,3,4,4,3,N/A,6,1,June,8,20,1,8,5,asian,male,3,4,no,4,15,5,4,2,555,60,1,4,2,9,3.5
1653866384170_6gho3,25,4,3,4,5,5,4,none,6,50,June,8,20,1,7,3,white-caucasian,female,3,3,yes,6,18,8,3,3,350,500,2,5,3,15,2.83333333333333
1653866386978_9ixpt,49,1,1,1,1,1,1,"",6,10,Emily,4,39,2,8,3,white-caucasian,trans-female,1,2,no,5,16,2,5,5,10,30,2,5,2,25,6
1653866392587_c31cx,32,1,2,1,1,2,1,"",6,10,Emily,4,2,2,8,3,white-caucasian,male,1,3,no,4,14,3,6,5,155,5,2,5,2,15,5.66666666666667
1653866399389_b3bny,28,4,4,5,4,4,4,"",1,50,June,8,39,1,7,5,white-caucasian,female,2,5,no,2,0,4,5,1,10000,970,1,5,5,10,2.83333333333333
1653866406128_j3gkg,64,5,4,3,4,2,2,"",6,50,June,8,39,1,8,3,white-caucasian,female,3,4,no,5,16,5,6,4,300,20,1,5,3,16,3.66666666666667
1653866419438_qarig,29,4,4,3,3,3,3,No,6,50,Emily,8,20,1,7,2,black-african-american,female,1,3,no,6,4,7,3,5,0,0,0,1,2,12,3.66666666666667
1653866426194_b4dyr,76,2,2,2,2,2,2,no,1,10,Emily,4,20,1,8,4,white-caucasian,female,3,4,no,5,16,2,4,4,7,3,2,4,3,31,5
1653866431673_ifby3,31,6,3,3,3,3,2,No,6,10,Emily,8,39,1,8,4,white-caucasian,female,1,3,no,6,16,1,6,3,568,678,1,5,1,18,3.66666666666667
1653866441646_0o88u,39,5,5,5,5,5,4,No,6,10,Emily,4,39,2,8,3,native-hawaiian-pacific-islander,male,3,4,no,5,16,8,7,3,50,120,2,2,3,13,2.16666666666667
1653866444246_fcef5,35,4,3,3,4,3,3,No,6,1,June,8,39,2,7,3,asian,female,3,3,no,4,3,1,7,1,10,300,1,4,3,19,3.66666666666667
1653866445280_3g6gx,42,2,2,1,2,2,1,"",1,10,emily,4,39,2,8,4,white-caucasian,male,3,4,no,6,18,1,7,5,300,300,2,5,2,9,5.33333333333333
1653866448569_zfan5,20,3,3,2,3,2,2,I thought this study was straightforward and easy to complete! Thank you,6,10,Emily,4,39,2,8,3,asian,female,1,3,no,4,15,1,5,5,89,10,1,5,3,10,4.5
1653866458391_teni0,57,5,4,3,4,4,3,n/a,6,50,Emily,4,39,2,8,4,white-caucasian,female,2,4,no,6,18,1,5,5,250,5,1,5,4,20,3.16666666666667
1653866465140_ax9wt,77,1,2,2,1,1,2,"I felt like I missed something after the feed of news articles, I thought there would be questions on that page.",6,50,Emily,8,39,2,8,2,white-caucasian,female,1,1,no,4,16,1,4,5,630,2200,2,5,2,12,5.5
1653866467167_udns8,36,5,5,2,5,4,2,no,6,50,June,8,20,1,7,1,other,female,1,1,no,6,20,1,7,5,600,3,1,4,1,11,3.16666666666667
1653866476660_tygyp,26,3,2,3,4,3,2,I have no comments.,6,50,June,4,20,2,8,3,black-african-american,male,1,3,no,4,2.5,1,4,5,0,0,1,5,3,11,4.16666666666667
1653866482358_ipjft,41,5,3,1,3,2,3,No,6,50,Emily,4,39,2,8,1,white-caucasian,female,1,1,no,6,18,1,6,2,20,300,2,5,1,8,4.16666666666667
1653866485287_mwo5p,28,2,2,3,4,3,2,"I put in the wrong number when asked for formal education, it should be 21 years.",6,50,June,8,20,2,8,4,prefer-not-to-say,male,3,4,no,6,26,8,6,1,2,35,1,4,2,11,4.33333333333333
1653866504667_k3yy4,36,2,2,2,1,1,1,"",6,10,emily,4,39,2,8,2,white-caucasian,male,1,3,no,4,14,4,4,4,700,74,2,5,2,18,5.5
1653866510960_5ut9w,36,3,3,3,4,3,2,no comments,6,50,june,8,39,1,8,3,white-caucasian,female,3,3,yes,2,12,6,5,4,0,0,0,1,3,14,4
1653866522323_1eji7,22,1,1,4,1,1,1,"",6,50,Emily,8,39,1,8,1,white-caucasian,male,1,1,no,2,12,1,1,4,150,35,2,4,1,20,5.5
1653866525435_820sm,28,1,1,1,1,1,1,"",6,10,Emily,4,39,2,8,2,white-caucasian,male,1,2,no,5,20,4,5,1,550,700,1,4,1,15,6
1653866538495_v49vh,43,4,3,2,4,3,1,no,2,50,emily,8,10,1,8,4,white-caucasian,female,2,4,no,4,3,0,3,4,150,5,2,5,4,23,4.16666666666667
1653866543113_g55yt,38,2,2,2,2,2,1,"",6,50,june,8,10,1,8,4,white-caucasian,male,2,4,no,5,16,1,3,5,50,400,1,5,2,10,5.16666666666667
1653866554471_abkvq,27,5,3,2,3,4,2,No,6,50,Emily,8,39,1,8,3,asian,female,1,3,no,4,3,6,5,5,313,786,2,5,2,8,3.83333333333333
1653866561676_83gz8,45,4,3,3,3,3,2,"",6,10,Emily,8,39,1,7,3,white-caucasian,male,1,2,no,6,20,1,3,4,60,200,2,5,2,28,4
1653866580686_6fmwf,44,2,2,2,2,2,2,No. Thank you!,6,10,Emily,20,39,2,8,2,asian,female,1,2,no,4,16,3,3,5,12000,400,2,5,2,14,5
1653866582939_2l8xa,38,3,3,2,2,2,2,"",6,10,Emily,8,39,2,8,3,white-caucasian,male,3,5,no,6,19,1,8,4,20,178,2,5,5,9,4.66666666666667
1653866612156_fp78m,62,5,3,3,5,3,1,no,6,50,Emily,8,20,2,8,5,white-caucasian,female,2,5,no,5,16,7,4,5,0,2,2,5,4,22,3.66666666666667
1653866650107_lymrl,39,3,3,2,2,2,2,Good luck with your project. :-),6,10,Emily,4,20,2,8,2,white-caucasian,female,3,1,no,5,16,0,3,5,500,1400,2,5,1,19,4.66666666666667
1653866669789_if5e4,39,4,3,5,3,3,3,No,5,50,june,8,20,1,8,2,other,male,1,3,no,5,17,9,5,3,250,15,2,5,2,19,3.5
1653866701762_045up,34,3,3,2,3,2,3,"",6,10,Emily,8,35,1,8,2,"",female,1,3,no,5,16,3,1,5,0,0,0,1,2,8,4.33333333333333
1653866717329_s9y21,35,5,3,5,4,4,3,No,4,50,Emily,8,20,1,8,3,white-caucasian,female,3,3,no,5,4,9,5,2,50,3,2,5,2,15,3
1653866749527_v5om1,45,4,5,5,4,4,4,no,6,50,Emily,8,40,1,7,4,black-african-american,female,1,3,no,6,18,7,6,1,400,34,1,5,4,72,2.66666666666667
1653866821529_nhann,21,4,4,5,5,5,5,"",3,50,June,8,20,1,8,3,white-caucasian,female,3,3,no,3,13,5,3,1,20,120,1,5,2,6,2.33333333333333
1653866826153_lel4v,25,3,3,3,3,3,2,"",6,10,Emily,4,39,2,8,2,black-african-american,male,1,1,no,5,21,1,5,5,456,854,2,5,2,18,4.16666666666667
1653866918865_o0zm9,36,4,2,2,3,2,2,no,2,50,Emily,8,39,1,8,5,white-caucasian,male,2,6,no,5,14,8,6,4,200,0,2,5,5,10,4.5
1653866924829_x0jtq,36,3,2,6,1,1,1,No,6,10,June,8,39,1,8,1,white-caucasian,female,1,3,no,4,18,8,3,5,100,500,2,4,1,14,4.66666666666667
1653866954873_y0vx4,45,2,3,2,2,1,2,"",6,10,Emily,24,39,2,8,5,white-caucasian,male,2,4,no,2,13,8,5,1,35,65,1,5,4,12,5
1653867035045_bfu8i,37,2,2,5,2,3,3,No,2,5,Emily,8,20,1,8,3,white-caucasian,female,4,3,no,2,12,1,3,5,54,100,1,4,3,17,4.16666666666667
1653867057723_vrlme,41,2,2,3,2,2,1,"none, thank you",6,10,June,4,39,1,8,1,white-caucasian,male,1,1,no,6,19,3,3,4,240,115,2,5,1,16,5
1653867091002_to4hm,31,4,4,3,3,3,2,"",6,10,Emily,4,39,2,8,4,white-caucasian,male,2,4,no,5,16,5,6,4,912,1700,2,5,2,17,3.83333333333333
1653867168456_j52ar,36,2,2,2,2,2,2,"Underpaid, to be honest. I wish 1 IQ/intelligence assessment could be done and requesters could share amongst themselves, as they come up so frequently, not that that's your fault.",6,10,June,4,39,1,8,1,white-caucasian,male,1,1,no,4,12,4,2,4,75,4,1,4,1,19,5
1653867239940_7ek6t,43,4,2,3,2,3,1,"",6,10,Emily,4,39,2,8,4,white-caucasian,female,2,4,no,6,21,1,6,5,500,150,1,5,4,10,4.5
1653867246504_m1nz0,33,6,2,3,6,3,2,"",1,500,emily,8,20,1,8,5,other,male,2,5,yes,2,13,3,3,3,100,20,2,5,5,9,3.33333333333333
1653867255438_a45rz,43,4,4,2,4,3,3,no,6,10,Emily,4,39,2,8,4,white-caucasian,male,1,3,no,5,18,3,4,2,50,20,2,4,2,38,3.66666666666667
1653867269480_0ihgw,71,2,2,3,2,1,1,no,3,10,Emily,4,39,2,8,2,white-caucasian,female,1,1,no,6,20,8,5,1,300,0,1,5,2,24,5.16666666666667
1653867324486_snguf,26,2,2,6,1,1,2,"",6,10,June,8,39,1,8,4,white-caucasian,female,2,4,no,4,3,7,6,1,500,53,1,4,4,6,4.66666666666667
1653867359294_am607,31,3,2,3,2,2,1,"",6,10,Emily,8,20,1,7,1,white-caucasian,female,1,1,no,5,17,8,3,5,470,1,1,5,1,16,4.83333333333333
1653867377518_jst5t,34,2,2,3,1,2,2,"",6,10,June,8,20,1,7,2,white-caucasian,male,3,3,no,4,14,3,3,5,490,25,1,5,2,10,5
1653867435284_tby2m,23,2,1,2,1,1,1,"",6,5,Emily,4,39,2,15,2,other,female,1,1,no,5,16,3,3,5,306,412,1,5,2,15,5.66666666666667
1653867442574_luwu3,65,5,4,5,2,2,2,"",4,50,June,8,20,1,7,4,white-caucasian,male,2,5,no,4,14,3,4,5,73,10,2,4,3,20,3.66666666666667
1653867449182_rk5hy,34,2,2,2,2,2,2,no,6,10,Emily,4,39,2,8,2,white-caucasian,male,1,3,no,6,20,1,7,3,350,400,2,5,2,14,5
1653867468434_kcwde,27,4,5,4,5,4,4,Na,1,50,Emily ,8,20,1,8,4,white-caucasian,female,2,5,no,2,12,5,4,1,199,5,1,5,5,7,2.66666666666667
1653867472167_c43qc,36,3,3,3,2,1,2,nothing further,6,10,Emily,4,39,2,8,4,white-caucasian,female,2,4,no,5,17,9,5,4,5000,300,2,4,2,20,4.66666666666667
1653867600633_pmutb,37,2,2,2,2,2,2,no,6,10,emily,4,39,2,8,4,white-caucasian,male,3,3,no,5,16,1,7,1,15,2,1,5,2,7,5
1653867616543_q358n,52,3,3,2,3,3,3,have a good evening,1,1,Emily,8,20,1,8,2,white-caucasian;american-indian-alaska-native,female,3,3,no,4,13,2,3,4,100,1,2,5,1,18,4.16666666666667
1653867643814_9k5mk,62,4,4,3,3,3,3,none,6,10,June,8,39,1,8,2,asian,female,3,3,no,6,18,7,4,2,12,10,1,4,4,20,3.66666666666667
1653867649374_kojqj,63,4,4,4,4,3,3,no,6,50,Emily,8,39,1,8,4,white-caucasian,male,2,5,no,5,16,4,4,3,400,278,2,4,4,22,3.33333333333333
1653867681435_ihy6b,61,4,4,2,4,2,1,No additional comments,1,10,Emily,8,20,1,8,5,white-caucasian,female,2,6,no,5,16,7,7,5,150,650,2,5,5,25,4.16666666666667
1653867682645_uuwru,40,4,2,2,2,2,2,"",6,50,Emily,8,39,1,8,4,black-african-american,female,2,5,no,5,16,5,5,4,512,100,2,5,4,17,4.66666666666667
1653867683872_tm0c2,38,2,2,2,2,1,2,No,6,10,Emily,4,39,2,8,2,black-african-american,female,1,2,no,4,13,3,4,5,1530,350,2,5,2,21,5.16666666666667
1653867690418_o0n1y,24,2,2,3,3,2,2,"",6,10,emily,8,20,1,8,3,white-caucasian,male,2,4,no,4,15,2,3,5,100,200,2,4,3,9,4.66666666666667
1653867710649_bm11x,45,3,5,4,2,3,3,"",1,10,Emily,24,39,1,8,3,white-caucasian;american-indian-alaska-native,male,2,4,no,4,18,0,3,4,25,50,2,5,4,18,3.66666666666667
1653867724261_zkqvn,34,4,4,4,3,2,1,"",3,50,June,8,20,1,7,3,white-caucasian,female,3,4,no,6,24,4,5,5,368,150,2,5,3,10,4
1653867758730_87e9o,37,4,2,2,4,2,2,"",6,50,Emily,8,39,2,8,4,white-caucasian,female,1,1,no,6,18,3,4,5,285,35,2,5,1,9,4.33333333333333
1653867836172_qfsye,54,5,5,5,4,4,4,thanks for letting me take your survey,6,50,Emily,8,20,1,8,5,white-caucasian,female,2,5,no,4,15,4,7,5,3,3,2,3,5,21,2.5
1653867848429_wjo1p,73,3,4,3,2,3,2,I wish there had been  a button for did not like on some of the news feeds,6,10,emily,4,39,1,8,4,white-caucasian,female,1,3,no,2,12,2,6,5,25,60,1,5,4,20,4.16666666666667
1653867943427_lg3lv,41,3,3,3,1,2,3,no,6,50,Emily,8,20,2,15,2,white-caucasian,male,3,3,no,4,2,7,3,1,100,2,1,5,2,16,4.5
1653868004562_6rctp,37,5,6,5,6,5,5,very interesting this survey,5,50,Emily's,8,20,2,7,5,black-african-american,male,2,6,no,5,16,5,7,4,7,7,2,5,5,12,1.66666666666667
1653868024601_e3184,53,1,2,1,1,1,2,"Fantastic survey, Thankyou for letting me participate ",6,5,Emily,8,20,2,7,4,black-african-american,female,3,5,no,6,20,1,8,3,400,123,2,5,4,15,5.66666666666667
1653868032307_horzo,30,4,4,4,4,3,4,"",6,50,June,4,20,1,8,5,white-caucasian,male,3,4,no,2,12,4,5,3,131,180,1,5,3,12,3.16666666666667
1653868058734_x4zo7,61,6,3,3,5,2,3,"",6,300,Emily,8,39,1,8,3,white-caucasian,male,2,6,no,5,14,1,5,1,0,0,0,1,3,12,3.33333333333333
1653868098908_cf80h,33,6,5,5,6,6,4,None,6,10,June,8,39,1,8,5,white-caucasian,male,3,4,no,6,20,3,4,5,500,1000,2,5,4,15,1.66666666666667
1653868141466_kid1h,37,4,2,1,1,1,1,none,6,10,Emily,8,39,2,8,4,white-caucasian,male,1,3,no,4,15,5,4,5,250,1000,2,5,1,11,5.33333333333333
1653868155688_xc4p7,33,4,5,5,5,4,4,"",6,50,Emily,8,20,1,8,4,white-caucasian,female,1,3,no,2,12,4,5,2,400,2,2,5,4,19,2.5
1653868164336_nt9oy,53,1,1,1,1,1,1,"",6,50,June,8,20,1,7,4,asian,female,1,2,no,5,16,8,7,1,87,2,1,3,2,20,6
1653868178731_2enm5,31,5,5,5,5,5,5,"",6,50,Emily,8,20,1,7,3,white-caucasian,female,2,5,no,5,4,9,6,3,10000,1000,2,4,3,12,2
1653868202729_msyjn,38,6,5,4,5,6,5,"",6,50,june,8,20,1,7,5,asian,female,1,1,no,5,16,6,5,4,100,100,2,5,5,10,1.83333333333333
1653868277602_3mp4l,23,4,4,3,4,1,2,"",6,10,Emily,4,20,2,8,2,white-caucasian,male,3,4,no,2,0,5,4,3,78,438,1,5,2,6,4
1653868357483_mc1lj,28,5,4,3,6,4,4,thank you,6,50,June,8,20,1,8,4,white-caucasian,female,2,5,no,3,12,3,4,4,2000,2000,2,5,4,20,2.66666666666667
1653868412787_ckmp7,34,3,3,3,2,2,2,No.,6,10,Emily,4,39,2,8,3,white-caucasian,male,1,1,no,5,17,5,4,5,318,975,2,4,1,10,4.5
1653868444502_c03ry,31,3,2,2,2,2,2,"For the education section, I am currently taking a Bachelor.",6,10,Emily,8,39,2,8,5,white-caucasian,male,2,4,no,4,14,7,5,5,1500,200,2,5,4,10,4.83333333333333
1653868451098_l5yks,35,3,4,4,4,4,2,"",1,10,Emily,8,39,2,8,4,black-african-american,male,3,4,no,5,16,6,4,2,247,85,2,4,4,34,3.5
1653868502469_mz03l,34,5,5,4,4,3,3,No,3,10,Emily ,8,39,2,8,4,white-caucasian,male,2,6,no,2,12,5,4,3,320,8,2,4,5,10,3
1653868582649_ydvh8,51,4,2,2,4,3,1,no,1,50,Emily,8,20,1,7,5,white-caucasian,female,2,6,no,3,2,4,4,4,500,20,2,5,5,17,4.33333333333333
1653868649788_2032j,51,2,1,1,1,1,1,"",6,50,June,8,20,2,7,2,white-caucasian,female,1,2,no,2,12,3,4,5,300,20,2,3,2,10,5.83333333333333
1653868675715_7cx1f,69,5,3,2,3,1,1,"",6,10,Emily,8,39,1,8,1,white-caucasian,female,1,1,no,5,16,9,4,5,35,10,1,5,1,28,4.5
1653868726883_aigpf,33,5,4,5,4,4,2,None,1,50,June,8,20,2,7,5,white-caucasian,male,2,6,no,6,19,6,6,5,142,142,2,4,5,11,3
1653868775109_tymnq,24,4,3,3,3,2,1,Thank you for letting me participate!,6,10,Emily,4,39,2,8,3,white-caucasian,male,1,2,no,6,18,4,6,4,15,50,2,4,1,13,4.33333333333333
1653868776628_x453e,55,5,4,4,5,3,2,no,6,50,emily,8,20,2,8,3,white-caucasian,female,4,4,no,1,10,5,6,5,12.3,3,1,5,3,14,3.16666666666667
1653868804284_g9yls,32,4,3,3,4,3,1,None,6,50,June,4,39,1,8,4,white-caucasian,male,1,3,no,5,22,7,7,2,123,12,2,3,2,15,4
1653868817760_itaat,25,2,2,4,2,4,2,No,6,10,Emily,4,39,1,8,2,white-caucasian,male,1,3,no,2,12,5,5,5,1500,1000,2,5,2,7,4.33333333333333
1653868835070_wu4wr,53,5,4,3,5,4,3,n/a,6,10,Emily,8,39,2,8,3,white-caucasian,female,4,4,no,4,13,1,4,2,0,0,2,4,3,17,3
1653868905328_w9dib,65,3,3,3,3,2,2,"",6,50,Emily,8,20,2,8,3,white-caucasian,female,3,3,no,5,17,2,5,5,125,100,1,5,3,10,4.33333333333333
1653868942690_vztzk,56,2,3,2,1,2,2,No,1,10,Emily,4,39,2,8,5,white-caucasian,male,4,6,no,4,14,2,4,4,120,35,2,5,5,32,5
1653868961543_26uuy,34,4,4,3,4,3,3,"No, thanks",3,50,Emily,8,20,1,7,2,black-african-american,female,1,3,no,5,16,5,5,5,2000,10,2,4,2,27,3.5
1653868966661_0hva5,24,2,3,3,3,3,3,"",6,50,June,8,20,1,7,5,white-caucasian,male,2,4,no,5,14,3,5,5,1300,800,1,5,2,7,4.16666666666667
1653868991079_qk7pv,47,3,3,3,3,3,2,none,1,50,emily,8,20,2,8,3,white-caucasian,female,3,3,no,5,16,7,5,5,7,5,1,5,3,11,4.16666666666667
1653869005888_9qmc0,23,4,2,1,4,1,2,No.,6,1,Emily,8,20,2,8,1,black-african-american,female,1,1,no,4,14,6,5,3,234,350,2,5,1,7,4.66666666666667
1653869021817_4wl4w,25,3,3,2,3,2,2,"",6,50,Emily,8,20,2,8,1,white-caucasian,female,3,3,no,2,12,3,5,2,390,120,2,4,1,9,4.5
1653869041296_95v73,43,3,5,4,6,3,3,Not right now ,4,50,June,8,32,1,7,5,white-caucasian,male,1,2,no,4,14,4,3,3,55,3,2,5,4,11,3
1653869112377_647sa,21,4,4,2,4,2,2,"",6,10,Emily,4,39,2,8,5,white-caucasian,female,4,4,no,4,11,1,6,4,0,0,0,1,1,22,4
1653869155744_qwnxz,43,2,2,2,2,2,2,Nope,6,10,Emily,8,39,1,8,2,white-caucasian,female,1,2,no,4,15,1,6,2,200,200,2,4,1,17,5
1653869178181_v1qke,59,5,5,4,5,3,2,NA,6,50,June,8,20,1,7,2,white-caucasian,female,1,2,no,4,14,7,6,1,150,2,1,2,2,29,3
1653869223291_k6ky8,47,3,3,1,2,1,2,"",6,10,Emily,8,39,1,8,1,asian,female,1,1,no,6,21,6,6,5,15,7,1,2,2,13,5
1653869226730_f0ewc,41,5,5,5,4,2,2,Covid and monkeypox are scams,1,50,Emily,8,20,2,8,3,prefer-not-to-say,male,4,4,no,5,16,6,3,1,0,0,0,1,5,22,3.16666666666667
1653869260810_955vi,28,4,4,4,4,4,3,I took a short break and I'm not sure if that time is included in my estimate ,6,10,Emily,4,39,2,8,4,"",male,3,3,no,2,0,2,2,1,700,700,1,5,2,34,3.16666666666667
1653869261379_gj4mh,29,4,3,3,4,2,1,"I do not, thanks!",6,50,June,8,39,1,8,2,white-caucasian,male,1,2,no,6,19,8,7,4,350,240,2,5,2,12,4.16666666666667
1653869359027_5jw2v,44,4,4,5,5,2,2,I enjoyed this survey.,6,50,Emily,8,20,1,7,2,white-caucasian,female,1,2,no,5,5,3,4,5,4,3,1,5,2,17,3.33333333333333
1653869444195_sdccu,42,4,4,2,4,3,3,No. Thank you.,1,10,June,8,39,2,7,4,white-caucasian,male,3,4,no,5,16,2,3,1,2,5,1,3,5,16,3.66666666666667
1653869505392_g58yj,20,4,4,3,4,3,3,"",6,50,June,4,20,1,8,2,white-caucasian,male,1,2,no,4,15,2,3,4,40,150,2,5,2,15,3.5
1653869518712_0yo8z,58,1,1,1,1,1,1,"",6,50,Emily,4,39,2,8,1,white-caucasian,female,1,1,no,5,16,8,6,5,60,300,2,5,1,15,6
1653869565060_m9sgn,60,4,3,3,3,3,3,no,6,50,Emily,8,39,2,8,1,white-caucasian,female,1,1,no,5,16,3,3,5,25000,3,2,5,1,21,3.83333333333333
1653869583104_vfzue,52,5,5,5,5,4,4,"",6,10,Emily,8,20,1,8,3,"",female,1,3,no,2,13,5,4,5,50,50,1,5,3,21,2.33333333333333
1653869653617_2b0js,48,3,3,3,2,2,2,"",6,10,Emily,4,39,2,8,2,white-caucasian,female,1,2,no,4,15,6,4,5,350,200,2,5,1,19,4.5
1653869684035_g723t,41,6,5,4,5,5,3,no,1,10,Emily,8,20,1,8,3,white-caucasian,female,4,4,no,2,1,5,4,3,100,15,2,5,4,20,2.33333333333333
1653869695717_4eb9c,66,3,3,2,3,2,2,"",6,10,June,8,38,1,8,2,white-caucasian,female,1,1,no,6,18,6,6,5,24,35,2,5,1,20,4.5
1653869708804_2j7ur,55,6,5,5,5,6,5,none,6,10,Emily,8,39,2,8,5,white-caucasian,female,2,4,no,2,13,3,3,4,150,100,2,5,5,14,1.66666666666667
1653869708862_rl49t,33,2,2,1,2,2,2,fun survey,3,50,June,8,20,2,8,4,white-caucasian,female,3,4,no,1,10,1,2,4,100,50,1,4,4,28,5.16666666666667
1653869764106_qk47e,49,2,2,2,2,2,2,"",6,50,Emily,8,39,1,8,1,american-indian-alaska-native,female,1,1,no,4,15,1,1,4,20,30,2,5,1,25,5
1653869919966_7tcp3,40,4,4,1,4,2,2,"",6,10,Emily,8,20,1,8,3,white-caucasian,female,1,3,no,5,17,7,6,5,250,500,2,5,1,25,4.16666666666667
1653869980714_nvygl,28,4,4,3,4,3,4,n/a,2,10,Emily,4,39,2,8,4,white-caucasian,male,3,4,no,5,17,6,7,3,2000,500,1,5,4,14,3.33333333333333
