user_id,field,response,attention,news_eval,condition,ip_address,country_codes
1651266714825_dg03x,election-newsworthiness,6_very-high-newsworthiness,1,6,1,173.23.107.143,US
1651266714825_dg03x,johnny-importance,1_no-importance,1,1,1,173.23.107.143,US
1651266714825_dg03x,johnny-newsworthiness,1_no-newsworthiness,1,1,1,173.23.107.143,US
1651266714825_dg03x,willsmith-importance,1_no-importance,1,1,1,173.23.107.143,US
1651266714825_dg03x,willsmith-newsworthiness,1_no-newsworthiness,1,1,1,173.23.107.143,US
1651266714825_dg03x,attentioncheck1,3_neither-agree-nor-disagree,1,3,1,173.23.107.143,US
1651266714825_dg03x,attentioncheck2,very-interested;extremely-interested,1,,1,173.23.107.143,US
1651266725098_l22v9,election-importance,3_low-importance,1,3,0,75.90.104.36,US
1651266725098_l22v9,election-newsworthiness,3_low-newsworthiness,1,3,0,75.90.104.36,US
1651266725098_l22v9,johnny-importance,4_some-importance,1,4,0,75.90.104.36,US
1651266725098_l22v9,johnny-newsworthiness,4_some-newsworthiness,1,4,0,75.90.104.36,US
1651266725098_l22v9,willsmith-importance,3_low-importance,1,3,0,75.90.104.36,US
1651266725098_l22v9,willsmith-newsworthiness,3_low-newsworthiness,1,3,0,75.90.104.36,US
1651266725098_l22v9,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,75.90.104.36,US
1651266725098_l22v9,attentioncheck2,very-interested;extremely-interested,1,,0,75.90.104.36,US
1651266737130_jhzsz,election-importance,6_very-high-importance,1,6,1,67.63.94.123,US
1651266737130_jhzsz,election-newsworthiness,6_very-high-newsworthiness,1,6,1,67.63.94.123,US
1651266737130_jhzsz,johnny-importance,3_low-importance,1,3,1,67.63.94.123,US
1651266737130_jhzsz,johnny-newsworthiness,4_some-newsworthiness,1,4,1,67.63.94.123,US
1651266737130_jhzsz,willsmith-importance,1_no-importance,1,1,1,67.63.94.123,US
1651266737130_jhzsz,willsmith-newsworthiness,2_very-low-newsworthiness,1,2,1,67.63.94.123,US
1651266737130_jhzsz,attentioncheck1,3_neither-agree-nor-disagree,1,3,1,67.63.94.123,US
1651266737130_jhzsz,attentioncheck2,very-interested;extremely-interested,1,,1,67.63.94.123,US
1651266747983_lpbhe,election-importance,5_high-importance,1,5,0,67.241.32.251,US
1651266747983_lpbhe,election-newsworthiness,5_high-newsworthiness,1,5,0,67.241.32.251,US
1651266747983_lpbhe,johnny-importance,5_high-importance,1,5,0,67.241.32.251,US
1651266747983_lpbhe,johnny-newsworthiness,6_very-high-newsworthiness,1,6,0,67.241.32.251,US
1651266747983_lpbhe,willsmith-importance,5_high-importance,1,5,0,67.241.32.251,US
1651266747983_lpbhe,willsmith-newsworthiness,5_high-newsworthiness,1,5,0,67.241.32.251,US
1651266747983_lpbhe,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,67.241.32.251,US
1651266747983_lpbhe,attentioncheck2,very-interested;extremely-interested,1,,0,67.241.32.251,US
1651266755262_o0h80,election-importance,6_very-high-importance,1,6,0,174.202.230.16,US
1651266755262_o0h80,election-newsworthiness,6_very-high-newsworthiness,1,6,0,174.202.230.16,US
1651266755262_o0h80,johnny-importance,2_very-low-importance,1,2,0,174.202.230.16,US
1651266755262_o0h80,johnny-newsworthiness,4_some-newsworthiness,1,4,0,174.202.230.16,US
1651266755262_o0h80,willsmith-importance,2_very-low-importance,1,2,0,174.202.230.16,US
1651266755262_o0h80,willsmith-newsworthiness,5_high-newsworthiness,1,5,0,174.202.230.16,US
1651266755262_o0h80,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,174.202.230.16,US
1651266755262_o0h80,attentioncheck2,very-interested;extremely-interested,1,,0,174.202.230.16,US
1651266762376_4sinw,election-importance,5_high-importance,1,5,0,216.23.255.205,US
1651266762376_4sinw,election-newsworthiness,5_high-newsworthiness,1,5,0,216.23.255.205,US
1651266762376_4sinw,johnny-importance,4_some-importance,1,4,0,216.23.255.205,US
1651266762376_4sinw,johnny-newsworthiness,4_some-newsworthiness,1,4,0,216.23.255.205,US
1651266762376_4sinw,willsmith-importance,2_very-low-importance,1,2,0,216.23.255.205,US
1651266762376_4sinw,willsmith-newsworthiness,4_some-newsworthiness,1,4,0,216.23.255.205,US
1651266762376_4sinw,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,216.23.255.205,US
1651266762376_4sinw,attentioncheck2,very-interested;extremely-interested,1,,0,216.23.255.205,US
1651266768224_ik0xd,election-importance,4_some-importance,1,4,1,72.190.80.79,US
1651266768224_ik0xd,election-newsworthiness,5_high-newsworthiness,1,5,1,72.190.80.79,US
1651266768224_ik0xd,johnny-importance,2_very-low-importance,1,2,1,72.190.80.79,US
1651266768224_ik0xd,johnny-newsworthiness,2_very-low-newsworthiness,1,2,1,72.190.80.79,US
1651266768224_ik0xd,willsmith-importance,3_low-importance,1,3,1,72.190.80.79,US
1651266768224_ik0xd,willsmith-newsworthiness,5_high-newsworthiness,1,5,1,72.190.80.79,US
1651266768224_ik0xd,attentioncheck1,3_neither-agree-nor-disagree,1,3,1,72.190.80.79,US
1651266768224_ik0xd,attentioncheck2,very-interested;extremely-interested,1,,1,72.190.80.79,US
1651266783858_c23xj,election-importance,6_very-high-importance,1,6,0,72.9.202.186,US
1651266783858_c23xj,election-newsworthiness,6_very-high-newsworthiness,1,6,0,72.9.202.186,US
1651266783858_c23xj,johnny-importance,6_very-high-importance,1,6,0,72.9.202.186,US
1651266783858_c23xj,johnny-newsworthiness,6_very-high-newsworthiness,1,6,0,72.9.202.186,US
1651266783858_c23xj,willsmith-importance,1_no-importance,1,1,0,72.9.202.186,US
1651266783858_c23xj,willsmith-newsworthiness,4_some-newsworthiness,1,4,0,72.9.202.186,US
1651266783858_c23xj,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,72.9.202.186,US
1651266783858_c23xj,attentioncheck2,very-interested;extremely-interested,1,,0,72.9.202.186,US
1651266808049_88hb8,election-importance,5_high-importance,1,5,0,108.197.164.71,US
1651266808049_88hb8,election-newsworthiness,5_high-newsworthiness,1,5,0,108.197.164.71,US
1651266808049_88hb8,johnny-importance,3_low-importance,1,3,0,108.197.164.71,US
1651266808049_88hb8,johnny-newsworthiness,4_some-newsworthiness,1,4,0,108.197.164.71,US
1651266808049_88hb8,willsmith-importance,4_some-importance,1,4,0,108.197.164.71,US
1651266808049_88hb8,willsmith-newsworthiness,4_some-newsworthiness,1,4,0,108.197.164.71,US
1651266808049_88hb8,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,108.197.164.71,US
1651266808049_88hb8,attentioncheck2,very-interested;extremely-interested,1,,0,108.197.164.71,US
1651266842023_17zzj,election-importance,6_very-high-importance,1,6,1,68.185.37.230,US
1651266842023_17zzj,election-newsworthiness,5_high-newsworthiness,1,5,1,68.185.37.230,US
1651266842023_17zzj,johnny-importance,4_some-importance,1,4,1,68.185.37.230,US
1651266842023_17zzj,johnny-newsworthiness,2_very-low-newsworthiness,1,2,1,68.185.37.230,US
1651266842023_17zzj,willsmith-importance,1_no-importance,1,1,1,68.185.37.230,US
1651266842023_17zzj,willsmith-newsworthiness,1_no-newsworthiness,1,1,1,68.185.37.230,US
1651266842023_17zzj,attentioncheck1,3_neither-agree-nor-disagree,1,3,1,68.185.37.230,US
1651266842023_17zzj,attentioncheck2,very-interested;extremely-interested,1,,1,68.185.37.230,US
1651266848287_ub5id,election-importance,5_high-importance,1,5,1,24.178.146.205,US
1651266848287_ub5id,election-newsworthiness,2_very-low-newsworthiness,1,2,1,24.178.146.205,US
1651266848287_ub5id,johnny-importance,6_very-high-importance,1,6,1,24.178.146.205,US
1651266848287_ub5id,johnny-newsworthiness,6_very-high-newsworthiness,1,6,1,24.178.146.205,US
1651266848287_ub5id,willsmith-importance,4_some-importance,1,4,1,24.178.146.205,US
1651266848287_ub5id,willsmith-newsworthiness,2_very-low-newsworthiness,1,2,1,24.178.146.205,US
1651266848287_ub5id,attentioncheck1,3_neither-agree-nor-disagree,1,3,1,24.178.146.205,US
1651266848287_ub5id,attentioncheck2,very-interested;extremely-interested,1,,1,24.178.146.205,US
1651266916247_h0msc,election-importance,6_very-high-importance,1,6,0,98.213.118.142,US
1651266916247_h0msc,election-newsworthiness,6_very-high-newsworthiness,1,6,0,98.213.118.142,US
1651266916247_h0msc,johnny-importance,5_high-importance,1,5,0,98.213.118.142,US
1651266916247_h0msc,johnny-newsworthiness,5_high-newsworthiness,1,5,0,98.213.118.142,US
1651266916247_h0msc,willsmith-importance,5_high-importance,1,5,0,98.213.118.142,US
1651266916247_h0msc,willsmith-newsworthiness,5_high-newsworthiness,1,5,0,98.213.118.142,US
1651266916247_h0msc,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,98.213.118.142,US
1651266916247_h0msc,attentioncheck2,very-interested;extremely-interested,1,,0,98.213.118.142,US
1651267028213_uqb59,election-importance,6_very-high-importance,1,6,1,74.98.224.241,US
1651267028213_uqb59,election-newsworthiness,6_very-high-newsworthiness,1,6,1,74.98.224.241,US
1651267028213_uqb59,johnny-importance,5_high-importance,1,5,1,74.98.224.241,US
1651267028213_uqb59,johnny-newsworthiness,6_very-high-newsworthiness,1,6,1,74.98.224.241,US
1651267028213_uqb59,willsmith-importance,1_no-importance,1,1,1,74.98.224.241,US
1651267028213_uqb59,willsmith-newsworthiness,3_low-newsworthiness,1,3,1,74.98.224.241,US
1651267028213_uqb59,attentioncheck1,3_neither-agree-nor-disagree,1,3,1,74.98.224.241,US
1651267028213_uqb59,attentioncheck2,very-interested;extremely-interested,1,,1,74.98.224.241,US
1651267201427_majxz,election-importance,6_very-high-importance,1,6,0,73.149.186.215,US
1651267201427_majxz,election-newsworthiness,6_very-high-newsworthiness,1,6,0,73.149.186.215,US
1651267201427_majxz,johnny-importance,3_low-importance,1,3,0,73.149.186.215,US
1651267201427_majxz,johnny-newsworthiness,3_low-newsworthiness,1,3,0,73.149.186.215,US
1651267201427_majxz,willsmith-importance,1_no-importance,1,1,0,73.149.186.215,US
1651267201427_majxz,willsmith-newsworthiness,2_very-low-newsworthiness,1,2,0,73.149.186.215,US
1651267201427_majxz,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,73.149.186.215,US
1651267201427_majxz,attentioncheck2,very-interested;extremely-interested,1,,0,73.149.186.215,US
1651267663730_qvfmw,election-importance,4_some-importance,0.5,4,1,65.188.49.244,US
1651267663730_qvfmw,election-newsworthiness,3_low-newsworthiness,0.5,3,1,65.188.49.244,US
1651267663730_qvfmw,johnny-importance,5_high-importance,0.5,5,1,65.188.49.244,US
1651267663730_qvfmw,johnny-newsworthiness,4_some-newsworthiness,0.5,4,1,65.188.49.244,US
1651267663730_qvfmw,willsmith-importance,2_very-low-importance,0.5,2,1,65.188.49.244,US
1651267663730_qvfmw,willsmith-newsworthiness,4_some-newsworthiness,0.5,4,1,65.188.49.244,US
1651267663730_qvfmw,attentioncheck1,3_neither-agree-nor-disagree,0.5,3,1,65.188.49.244,US
1651267663730_qvfmw,attentioncheck2,"",0.5,,1,65.188.49.244,US
1651268587992_r138c,election-importance,6_very-high-importance,1,6,1,99.185.141.111,US
1651268587992_r138c,election-newsworthiness,6_very-high-newsworthiness,1,6,1,99.185.141.111,US
1651268587992_r138c,johnny-importance,1_no-importance,1,1,1,99.185.141.111,US
1651268587992_r138c,johnny-newsworthiness,1_no-newsworthiness,1,1,1,99.185.141.111,US
1651268587992_r138c,willsmith-importance,4_some-importance,1,4,1,99.185.141.111,US
1651268587992_r138c,willsmith-newsworthiness,2_very-low-newsworthiness,1,2,1,99.185.141.111,US
1651268587992_r138c,attentioncheck1,3_neither-agree-nor-disagree,1,3,1,99.185.141.111,US
1651268587992_r138c,attentioncheck2,very-interested;extremely-interested,1,,1,99.185.141.111,US
1651270673128_rnrdq,election-importance,6_very-high-importance,1,6,0,172.58.76.249,US
1651270673128_rnrdq,election-newsworthiness,3_low-newsworthiness,1,3,0,172.58.76.249,US
1651270673128_rnrdq,johnny-importance,5_high-importance,1,5,0,172.58.76.249,US
1651270673128_rnrdq,johnny-newsworthiness,6_very-high-newsworthiness,1,6,0,172.58.76.249,US
1651270673128_rnrdq,willsmith-importance,6_very-high-importance,1,6,0,172.58.76.249,US
1651270673128_rnrdq,willsmith-newsworthiness,6_very-high-newsworthiness,1,6,0,172.58.76.249,US
1651270673128_rnrdq,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,172.58.76.249,US
1651270673128_rnrdq,attentioncheck2,very-interested;extremely-interested,1,,0,172.58.76.249,US
1651272124729_i5p08,election-importance,4_some-importance,1,4,0,184.101.25.239,US
1651272124729_i5p08,election-newsworthiness,4_some-newsworthiness,1,4,0,184.101.25.239,US
1651272124729_i5p08,johnny-importance,3_low-importance,1,3,0,184.101.25.239,US
1651272124729_i5p08,johnny-newsworthiness,3_low-newsworthiness,1,3,0,184.101.25.239,US
1651272124729_i5p08,willsmith-importance,3_low-importance,1,3,0,184.101.25.239,US
1651272124729_i5p08,willsmith-newsworthiness,3_low-newsworthiness,1,3,0,184.101.25.239,US
1651272124729_i5p08,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,184.101.25.239,US
1651272124729_i5p08,attentioncheck2,very-interested;extremely-interested,1,,0,184.101.25.239,US
1651272228702_rtkkb,election-importance,6_very-high-importance,1,6,0,98.176.225.46,US
1651272228702_rtkkb,election-newsworthiness,6_very-high-newsworthiness,1,6,0,98.176.225.46,US
1651272228702_rtkkb,johnny-importance,5_high-importance,1,5,0,98.176.225.46,US
1651272228702_rtkkb,johnny-newsworthiness,5_high-newsworthiness,1,5,0,98.176.225.46,US
1651272228702_rtkkb,willsmith-importance,5_high-importance,1,5,0,98.176.225.46,US
1651272228702_rtkkb,willsmith-newsworthiness,5_high-newsworthiness,1,5,0,98.176.225.46,US
1651272228702_rtkkb,attentioncheck1,3_neither-agree-nor-disagree,1,3,0,98.176.225.46,US
1651272228702_rtkkb,attentioncheck2,very-interested;extremely-interested,1,,0,98.176.225.46,US
